Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Drugs","No","","98239","Ongoing","GOLD STAR DISTRIBUTION INC","1000 Humboldt Ave N","N/A","Minneapolis","MN","	55411-3964","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US Nationwide.","D-0272-2026","Class II","LIQUID NYQUIL a) regular, 12/8oz; b) cherry, 12/8oz","N/A","CGMP Deviations: Insanitary conditions including rodent exposure/activity in their distribution center.","12/26/2025","01/14/2026","N/A","01/21/2026","All lots within expiry distributed by Gold Star Distribution."
"Drugs","No","","98239","Ongoing","GOLD STAR DISTRIBUTION INC","1000 Humboldt Ave N","N/A","Minneapolis","MN","	55411-3964","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US Nationwide.","D-0273-2026","Class II","NYQUIL COLD & FLU -32CT/2PK","N/A","CGMP Deviations: Insanitary conditions including rodent exposure/activity in their distribution center.","12/26/2025","01/14/2026","N/A","01/21/2026","All lots within expiry distributed by Gold Star Distribution."
"Drugs","No","","98239","Ongoing","GOLD STAR DISTRIBUTION INC","1000 Humboldt Ave N","N/A","Minneapolis","MN","	55411-3964","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US Nationwide.","D-0274-2026","Class II","CHILDREN NYQUIL, COLD&FLU, BERRY, 8oz, 12ct","N/A","CGMP Deviations: Insanitary conditions including rodent exposure/activity in their distribution center.","12/26/2025","01/14/2026","N/A","01/21/2026","All lots within expiry distributed by Gold Star Distribution."
"Drugs","No","","98239","Ongoing","GOLD STAR DISTRIBUTION INC","1000 Humboldt Ave N","N/A","Minneapolis","MN","	55411-3964","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US Nationwide.","D-0275-2026","Class II","PEPTO BISMOL 32CT","N/A","CGMP Deviations: Insanitary conditions including rodent exposure/activity in their distribution center.","12/26/2025","01/14/2026","N/A","01/21/2026","All lots within expiry distributed by Gold Star Distribution."
"Drugs","No","","98239","Ongoing","GOLD STAR DISTRIBUTION INC","1000 Humboldt Ave N","N/A","Minneapolis","MN","	55411-3964","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US Nationwide.","D-0276-2026","Class II","PEPCID COMPLETE - 25CT","N/A","CGMP Deviations: Insanitary conditions including rodent exposure/activity in their distribution center.","12/26/2025","01/14/2026","N/A","01/21/2026","All lots within expiry distributed by Gold Star Distribution."
"Drugs","No","","98239","Ongoing","GOLD STAR DISTRIBUTION INC","1000 Humboldt Ave N","N/A","Minneapolis","MN","	55411-3964","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US Nationwide.","D-0277-2026","Class II","TYLENOL a) 500 MG., 2'S DISPLAY, 50CT; b) COLD & FLU, 25CT/2S; c) COLD & FLU SEVERE, 2PK, 50CT; d) PM, 50CT; e) SINUS SEVERE, 2PK, 50CT","N/A","CGMP Deviations: Insanitary conditions including rodent exposure/activity in their distribution center.","12/26/2025","01/14/2026","N/A","01/21/2026","All lots within expiry distributed by Gold Star Distribution."
"Drugs","No","","98239","Ongoing","GOLD STAR DISTRIBUTION INC","1000 Humboldt Ave N","N/A","Minneapolis","MN","	55411-3964","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US Nationwide.","D-0278-2026","Class II","Halls Cough Drops a) BAGS, MENTHOL, 12CT; b) BAGS, HONEY LEM, 12CT; c) BAGS, DEFENSE CITRUS, 12CT; d) BAGS, CHERRY, 12CT; e) M. CHERRY, 20 STK; f) BRAZIL, Cherry, 21CT/27.5G; f) LEMON. HONEY, 20CT #1180E; g) LIME FRESH, 20CT, #1182; h) MENTHOL BLUE, 20CT, #1180A; i) BRAZIL, Menthol, 21CT/27.5G, j) M . STRAWBERRY, 20 STK; k) DEFENSE, VITAMIN C, 20CT, #1181","N/A","CGMP Deviations: Insanitary conditions including rodent exposure/activity in their distribution center.","12/26/2025","01/14/2026","N/A","01/21/2026","All lots within expiry distributed by Gold Star Distribution."
"Drugs","No","","98239","Ongoing","GOLD STAR DISTRIBUTION INC","1000 Humboldt Ave N","N/A","Minneapolis","MN","	55411-3964","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US Nationwide.","D-0279-2026","Class II","TUMS a) Assorted, 12 Ct.; b) Extra Strength (EX) Assorted Berries, 12-count #1194A *05/27; c)Extra Strength (EX) Assorted Fruit, 12-count, #1194C *03/27","N/A","CGMP Deviations: Insanitary conditions including rodent exposure/activity in their distribution center.","12/26/2025","01/14/2026","N/A","01/21/2026","All lots within expiry distributed by Gold Star Distribution."
"Drugs","No","","98241","Ongoing","SUN PHARMACEUTICAL INDUSTRIES INC","2 Independence Way","N/A","Princeton","NJ","	08540-6620","United States","Voluntary: Firm initiated","Letter","Nationwide within the USA","D-0256-2026","Class III","Fluocinolone Acetonide Solution Topical Solution USP, 0.01%, 60-mL bottles, Rx only, Dist. by: Taro Pharmaceuticals Inc., Hawthorn, NY 10532. NDC 51672-1365-4","24,624 bottles","Failed Impurities/Degradation Specifications: Out of specification result was obtained for the known impurity D.","12/30/2025","01/13/2026","N/A","01/21/2026","Lot #: AD81290, AD81291, AD81292 and AD81293, Exp. Date 1/31/2027"
"Drugs","No","01/20/2026","98246","Ongoing","AvKARE","615 N 1st St","N/A","Pulaski","TN","	38478-2403","United States","Voluntary: Firm initiated","Letter","Nationwide in the USA","D-0292-2026","Class II","Rosuvastatin Tablets, USP, 10 mg, Rx Only, 50 Tablets (5 x 10) Unit Dose per carton, Manufactured for: AvKARE, Pulaski, TN 38478.  NDC:  50268-709-15","7,991 5x10 cartons","Out of specification for dissolution.","12/31/2025","01/20/2026","N/A","01/14/2026","Lot #49124, Exp Date 12/31/2026"
